English	Turkish
        Astral Stone	        Astral Taşı
        Immortal Stone	        Immortal Taşı
        Lucky Powder	        Şans Tozu
        Lucky Stone	        Şans Taşı
        Steady Stone	        Steady Taşı
    Target Plus	    Hedef Plus
%d %ls	%d %ls
%d attempt left	%d deneme kaldı
%d attempts left	%d deneme kaldı
%d Days	%d Gün
%d fps	%d fps
%d ms	%d ms
%ldd %ldh %ldm ago	%ldg %ldsa %lddk önce
%ls (+%d)	%ls (+%d)
%ls [%d%%]	%ls [%d%%]
%ls Silk	%ls Silk
%s  Lv.%u	%s  Sv.%u
%s challenged you to PvP.	%s sizi PvP düellosuna davet etti.
%s is currently running an Offline Stall.	%s şu anda bir Çevrimdışı Tezgâh çalıştırıyor.
[{charname}] has succeeded in augmenting [{wpname}]'s [+{plus}] level with Adv. Elixir.	[{charname}], [{wpname}] eşyasını Gelişmiş İksir ile [+{plus}] seviyesine başarıyla yükseltti.
[{charname}] has succeeded in augmenting [{wpname}]'s [+{plus}] level.	[{charname}], [{wpname}] eşyasını [+{plus}] seviyesine başarıyla yükseltti.
+ Save	+ Kaydet
<<Left>>	<<Sol>>
<Alive>	<Hayatta>
<Default Color>	<Varsayılan Renk>
<Killed>	<Öldürüldü>
<No Guild>	<Guild Yok>
<No Icon>	<Simge Yok>
<No Title>	<Unvan Yok>
<No Union>	<Birlik Yok>
<None>	<Yok>
<Unknown>	<Bilinmiyor>
1 Degrees	1. Derece
1. Call Shadow Captain Ivy.	1. Shadow Captain Ivy çağır.
1. Call Shadow Cerberus.	1. Shadow Cerberus çağır.
1. Call Shadow Isyutaru.	1. Shadow Isyutaru çağır.
1. Call Shadow Tigerwoman.	1. Shadow Tigerwoman çağır.
1. Call Shadow Uruchi.	1. Shadow Uruchi çağır.
1. KMTGuard	1. KMTGuard
10 Degrees	10. Derece
11 Degrees	11. Derece
12 Degrees	12. Derece
13 Degrees	13. Derece
14 Degrees	14. Derece
15 Degrees	15. Derece
16 Degrees	16. Derece
17 Degrees	17. Derece
18 Degrees	18. Derece
2 Degrees	2. Derece
2. KMTGuard	2. KMTGuard
3 Degrees	3. Derece
3. KMTGuard	3. KMTGuard
4 Degrees	4. Derece
4. KMTGuard	4. KMTGuard
5 Degrees	5. Derece
5. KMTGuard	5. KMTGuard
6 Degrees	6. Derece
6. KMTGuard	6. KMTGuard
7 Degrees	7. Derece
7. KMTGuard	7. KMTGuard
8 Degrees	8. Derece
8. KMTGuard	8. KMTGuard
9 Degrees	9. Derece
Accept	Kabul Et
Accept join party requests	Partiye katılma isteklerini kabul et
Accept party invite	Parti davetini kabul et
Account Register	Hesap Kaydı
Achievement Center	Başarı Merkezi
Achievements	Başarımlar
Achievements :	Başarımlar :
Acquired Skills	Edinilen Beceriler
Activate	Etkinleştir
Activating animation...	Animasyon etkinleştiriliyor...
Activating Offline Stall...	Çevrimdışı tezgâh etkinleştiriliyor...
Activating...	Etkinleştiriliyor...
Activation timed out. Please try again.	Etkinleştirme zaman aşımına uğradı. Lütfen tekrar deneyin.
Active	Etkin
Add	Ekle
Add to List	Listeye Ekle
Alchemy Macro	Simya Makrosu
All	Tümü
Already used this slot.	Bu yuva zaten kullanılıyor.
Always Active Window	Pencereyi Her Zaman Etkin Tut
Always Active Window : OFF	Her Zaman Etkin Pencere : KAPALI
Always Active Window : ON	Her Zaman Etkin Pencere : AÇIK
An Offline Stall is running for this character.	Bu karakter için bir çevrimdışı tezgâh çalışıyor.
ANIMATION COLLECTION	ANİMASYON KOLEKSİYONU
Assign the skills and weapons (shields) to use the skills automatically.	Becerileri otomatik kullanmak için beceri ve silahları (kalkanları) atayın.
Astral requires an Immortal stone on the item.	Astral için eşya üzerinde Ölümsüzlük taşı gerekir.
Astral stone is not found.	Astral taşı bulunamadı.
Attack rate %d	Saldırı oranı %d
Attack rate +%d	Saldırı oranı +%d
Attack rate +0	Saldırı oranı +0
Attendance	Katılım
Attendance Event	Katılım Etkinliği
Authenticate	Doğrula
Auto - Return when HP/MP potion < 10	Otomatik - HP/MP iksiri 10'dan azsa geri dön
Auto alchemy is working.	Otomatik simya çalışıyor.
Auto alchemy stopped.	Otomatik simya durdu.
Auto Equip	Otomatik Kuşan
Auto Mastery	Otomatik Ustalık
Auto Order	Otomatik Sırala
Auto ordering finished...	Otomatik sıralama tamamlandı...
Auto ordering started...	Otomatik sıralama başladı...
Auto play and stop when win	Otomatik oyna ve kazanınca dur
Auto refill magic pop slot	Magic Pop yuvasını otomatik doldur
Auto reform party	Partiyi otomatik yeniden kur
Auto Restart	Otomatik Yeniden Başlat
Auto Skill	Otomatik Beceri
Auto Sort	Otomatik Düzenle
Auto sorting finished...	Otomatik düzenleme tamamlandı...
Auto sorting started...	Otomatik düzenleme başladı...
Auto-Blue	Otomatik Blue
Auto-Hunting	Otomatik Av
Auto-Pick up	Otomatik Toplama
Auto-Plus	Otomatik Plus
Auto-Potion	Otomatik İksir
Auto-Scroll	Otomatik Parşömen
Auto-Skill	Otomatik Beceri
Auto-Stat	Otomatik Stat
Available Colors	Kullanılabilir Renkler
Available Icons	Kullanılabilir Simgeler
Available Titles	Kullanılabilir Unvanlar
Avatar	Avatar
Awaiting authorization	Onay bekleniyor
Axe	Balta
Back	Geri
Blade	Bıçak
Block Rate	Blok Oranı
Blocking rate %d	Blok oranı %d
Blocking rate +%d	Blok oranı +%d
Blocking rate +0	Blok oranı +0
Blue Team	Mavi Takım
Bow	Yay
Cancel	İptal
Cannot choose another teleport method because you are now being teleported.	Şu anda ışınlandığınız için başka bir ışınlanma yöntemi seçemezsiniz.
CH	CH
Challenge	Meydan Oku
Challenge request sent.	Meydan okuma isteği gönderildi.
Change	Değiştir
Change Secondary Passcode	İkincil Şifreyi Değiştir
Change the Grant Name	Verilen Adı Değiştir
Changelog	Değişiklik Geçmişi
CHANNEL	KANAL
Char	Karakter
Character Name	Karakter Adı
Character Ranking	Karakter Sıralaması
Character-bound	Karaktere bağlı
Check Attribute Stones.	Özellik Taşlarını kontrol edin.
Check Magic Stones.	Büyü Taşlarını kontrol edin.
Check the attendance	Katılımı Onayla
Checking saved account...	Kayıtlı hesap kontrol ediliyor...
Cleric rod	Rahip asası
Click the keypad to the right to create a passcode.	Şifre oluşturmak için sağdaki tuş takımını kullanın.
Close	Kapat
Code: %d	Kod: %d
Code: %d\n\nEnter the code within %d seconds.	Kod: %d\n\nKodu %d saniye içinde girin.
Colors	Renkler
Configure Attack Skills	Saldırı Becerilerini Ayarla
Configure Auto-Alchemy	Otomatik Simyayı Ayarla
Configure Auto-Hunt	Otomatik Avı Ayarla
Configure Auto-Potion	Otomatik İksiri Ayarla
Configure Auto-Repair	Otomatik Onarımı Ayarla
Configure Auto-Resurrect	Otomatik Dirilmeyi Ayarla
Configure Auto-Return	Otomatik Dönüşü Ayarla
Configure Auto-Scroll	Otomatik Parşömeni Ayarla
Configure Auto-Skills	Otomatik Becerileri Ayarla
Configure Berserk Mode	Berserk Modunu Ayarla
Configure Buff Skills	Buff Becerilerini Ayarla
Configure Hunting Range	Av Menzilini Ayarla
Configure Party Buff Skills	Parti Buff Becerilerini Ayarla
Configure Pick up Filter	Toplama Filtresini Ayarla
Configure rewards in KMTGuard database first.	Önce KMTGuard veritabanında ödülleri ayarlayın.
Configure the auto alchemy.	Otomatik simyayı ayarlayın.
Configure the auto scroll. Put items to slots for auto use.	Otomatik parşömeni ayarlayın. Otomatik kullanım için eşyaları yuvalara koyun.
Configure the Pick up Filter for auto pick up.	Otomatik toplama için Toplama Filtresini ayarlayın.
Confirm	Onayla
Confirm within %d seconds	%d saniye içinde onaylayın
Confirmation window	Onay Penceresi
Congratulations! Your reward was added to the chest.	Tebrikler! Ödülünüz sandığa eklendi.
Could not find the current client executable.	Geçerli istemci çalıştırılabilir dosyası bulunamadı.
Could not start the game again.	Oyun yeniden başlatılamadı.
Create a PvP Wager Challenge	Bahisli PvP Mücadelesi Oluştur
Create Secondary Passcode	İkincil Şifre Oluştur
Critical %d	Kritik %d
Critical +%d	Kritik +%d
Critical +0	Kritik +0
Crossbow	Arbalet
Cure Status	Durum Etkilerini Temizle
Current Color :	Mevcut Renk:
Current Title :	Mevcut Unvan:
Current Title : 	Mevcut Unvan: 
Dagger	Hançer
Dark staff	Kara asa
Date	Tarih
Decline	Reddet
Default	Varsayılan
Degrees	Dereceler
Delete	Sil
Descriptions	Açıklamalar
Devil's Spirit	Şeytan Ruhu
Disconnect	Bağlantıyı Kes
Disconnect it and login normally?	Bağlantı kesilip normal giriş yapılsın mı?
Disconnecting Offline Stall...	Çevrimdışı tezgâhın bağlantısı kesiliyor...
Do you recall to auto equip?	Otomatik kuşanmayı geri çağırmak istiyor musunuz?
Do you want close client?	Oyunu kapatmak istiyor musunuz?
Do you want visit official Discord Channel?	Resmî Discord kanalını ziyaret etmek istiyor musunuz?
Do you want visit official Facebook Site?	Resmî Facebook sayfasını ziyaret etmek istiyor musunuz?
Do you want visit official Web Site?	Resmî web sitesini ziyaret etmek istiyor musunuz?
Dont Attack the Monsters	Canavarlara Saldırma
Dont pick up alchemy materials	Simya malzemelerini toplama
Dont pick up Alchemy stones	Simya taşlarını toplama
Dont pick up Alchemy tablets	Simya tabletlerini toplama
