"SchemaName","SynonymName","base_object_name"
"dbo","_____ShadowDungeon","[KMTGuard].[KMT].[Event_ShadowDungeon]"
"dbo","___SR_GSNpcUniqueIdList","[KMTGuard].[KMT].[NPC_GameServerIDs]"
"dbo","___SR_GSSettings","[KMTGuard].[KMT].[System_GameServerSettings]"
"dbo","___SR_ShardSettings","[KMTGuard].[KMT].[System_ShardSettings]"
"dbo","__AttackRestrictions","[KMTGuard].[KMT].[Security_AttackRules]"
"dbo","__Blacklist","[KMTGuard].[KMT].[Security_Blacklist]"
"dbo","__Notices","[KMTGuard].[KMT].[System_Notices]"
"dbo","__ProxyServices","[KMTGuard].[KMT].[System_ProxyServices]"
"dbo","__Settings","[KMTGuard].[KMT].[System_Settings]"
"dbo","__Settings_Backup","[KMTGuard].[KMT].[System_SettingsBackup]"
"dbo","__Whitelist","[KMTGuard].[KMT].[Security_Whitelist]"
"dbo","_AccountSecondaryPassword","[KMTGuard].[KMT].[Auth_SecondaryPasswords]"
"dbo","_Achievement","[KMTGuard].[KMT].[Achievement_Players]"
"dbo","_AchievementCondition","[KMTGuard].[KMT].[Achievement_PlayerConditions]"
"dbo","_ActiveIconsLeftSide","[KMTGuard].[KMT].[Style_ActiveLeftIcons]"
"dbo","_ActiveIconsRightSide","[KMTGuard].[KMT].[Style_ActiveRightIcons]"
"dbo","_ActiveNameColors","[KMTGuard].[KMT].[Style_ActiveNameColors]"
"dbo","_ActiveTitleColors","[KMTGuard].[KMT].[Style_ActiveTitleColors]"
"dbo","_ActiveTitleNameNew","[KMTGuard].[KMT].[Style_ActiveTitles]"
"dbo","_AsyncFilterCommands","[KMTGuard].[KMT].[Command_FilterQueue]"
"dbo","_AsyncFilterCommandsPlanned","[KMTGuard].[KMT].[Command_PlannedQueue]"
"dbo","_AsyncGameServerCommands","[KMTGuard].[KMT].[Command_GameServerQueue]"
"dbo","_Attendance","[KMTGuard].[KMT].[Attendance_Players]"
"dbo","_AttendanceRewardLog","[KMTGuard].[KMT].[Attendance_RewardLog]"
"dbo","_AutoEventCommandQueue","[KMTGuard].[KMT].[AutoEvent_CommandQueue]"
"dbo","_AutoEventConfig","[KMTGuard].[KMT].[AutoEvent_Settings]"
"dbo","_AutoEventReward","[KMTGuard].[KMT].[AutoEvent_Rewards]"
"dbo","_AutoEventRound","[KMTGuard].[KMT].[AutoEvent_Rounds]"
"dbo","_AutoEventRoundContent","[KMTGuard].[KMT].[AutoEvent_RoundContent]"
"dbo","_AutoEventRun","[KMTGuard].[KMT].[AutoEvent_Runs]"
"dbo","_AutoEventWinnerLog","[KMTGuard].[KMT].[AutoEvent_WinnerLog]"
"dbo","_blocked_skill","[KMTGuard].[KMT].[Security_BlockedSkills]"
"dbo","_bypassHwidbyIP","[KMTGuard].[KMT].[Auth_HWIDBypassIPs]"
"dbo","_CharacterIconManager","[KMTGuard].[KMT].[Style_PlayerIcons]"
"dbo","_CharacterSettings","[KMTGuard].[KMT].[Player_Settings]"
"dbo","_CharacterTitleManager","[KMTGuard].[KMT].[Style_PlayerTitles]"
"dbo","_CharacterTitleManagerColor","[KMTGuard].[KMT].[Style_PlayerTitleColors]"
"dbo","_ClientlessAccounts","[KMTGuard].[KMT].[Clientless_Accounts]"
"dbo","_CurrentEventTeamList","[KMTGuard].[KMT].[Event_CurrentTeams]"
"dbo","_EventScheduleMeta","[KMTGuard].[KMT].[Event_ScheduleVersion]"
"dbo","_FellowSkillData","[KMTGuard].[KMT].[Fellow_Skills]"
"dbo","_FilterRegionControl","[KMTGuard].[KMT].[Security_RegionFeatures]"
"dbo","_GMIPList","[KMTGuard].[KMT].[Auth_GMIPs]"
"dbo","_HwidList","[KMTGuard].[KMT].[Auth_HWIDs]"
"dbo","_ItemChest","[KMTGuard].[KMT].[Item_Chest]"
"dbo","_KillerAnimationActive","[KMTGuard].[KMT].[KillerAnimation_Active]"
"dbo","_KillerAnimationOwned","[KMTGuard].[KMT].[KillerAnimation_Owned]"
"dbo","_KillerAnimationPurchaseLog","[KMTGuard].[KMT].[KillerAnimation_PurchaseLog]"
"dbo","_KillerAnimations","[KMTGuard].[KMT].[KillerAnimation_List]"
"dbo","_LockedItemList","[KMTGuard].[KMT].[Item_Locked]"
"dbo","_LuckySpinLog","[KMTGuard].[KMT].[LuckySpin_Log]"
"dbo","_LuckySpinRewards","[KMTGuard].[KMT].[LuckySpin_Rewards]"
"dbo","_MacroAutoPotion","[KMTGuard].[KMT].[Macro_AutoPotion]"
"dbo","_MacroSetting","[KMTGuard].[KMT].[Macro_Settings]"
"dbo","_MobAffinityGS","[KMTGuard].[KMT].[NPC_MobAffinity]"
"dbo","_NewReverseSavedLocations","[KMTGuard].[KMT].[Teleport_SavedLocations]"
"dbo","_PartyData","[KMTGuard].[KMT].[Party_Members]"
"dbo","_PartyMatchingCreated","[KMTGuard].[KMT].[Party_MatchingLog]"
"dbo","_PvpChallengeArena","[KMTGuard].[KMT].[PVP_Arenas]"
"dbo","_PvpChallengeConfig","[KMTGuard].[KMT].[PVP_Settings]"
"dbo","_PvpChallengeKillLog","[KMTGuard].[KMT].[PVP_KillLog]"
"dbo","_PvpChallengeMatch","[KMTGuard].[KMT].[PVP_Matches]"
"dbo","_Rank_Custom1","[KMTGuard].[KMT].[Rank_Data01]"
"dbo","_Rank_Custom2","[KMTGuard].[KMT].[Rank_Data02]"
"dbo","_Rank_Custom3","[KMTGuard].[KMT].[Rank_Data03]"
"dbo","_Rank_Custom4","[KMTGuard].[KMT].[Rank_Data04]"
"dbo","_Rank_Custom5","[KMTGuard].[KMT].[Rank_Data05]"
"dbo","_Rank_Custom6","[KMTGuard].[KMT].[Rank_Data06]"
"dbo","_Rank_Custom7","[KMTGuard].[KMT].[Rank_Data07]"
"dbo","_Rank_Custom8","[KMTGuard].[KMT].[Rank_Data08]"
"dbo","_Rank_Custom9","[KMTGuard].[KMT].[Rank_Data09]"
"dbo","_RefAchievement","[KMTGuard].[KMT].[Achievement_List]"
"dbo","_RefAchievementCondition","[KMTGuard].[KMT].[Achievement_Conditions]"
"dbo","_RefAttendanceReward","[KMTGuard].[KMT].[Attendance_Rewards]"
"dbo","_RefEventRegister","[KMTGuard].[KMT].[Event_RegisterSettings]"
"dbo","_RefEventSchedule","[KMTGuard].[KMT].[Event_ScheduleSettings]"
"dbo","_RefFellowPetRefObjID","[KMTGuard].[KMT].[Fellow_PetObjectIDs]"
"dbo","_RefFellowPetSystem","[KMTGuard].[KMT].[Fellow_Settings]"
"dbo","_RefGlobalColor","[KMTGuard].[KMT].[Style_GlobalColors]"
"dbo","_RefHideNameRegionsGS","[KMTGuard].[KMT].[Security_HideNameRegions]"
"dbo","_RefHideSkillEffect","[KMTGuard].[KMT].[Security_HiddenSkillEffects]"
"dbo","_RefIconsMediaPath","[KMTGuard].[KMT].[Style_IconFiles]"
"dbo","_RefLoggerMobKill","[KMTGuard].[KMT].[Log_MobKillSettings]"
"dbo","_RefMapSettings","[KMTGuard].[KMT].[Map_Settings]"
"dbo","_RefNewAvatarMall","[KMTGuard].[KMT].[Mall_Avatars]"
"dbo","_RefNewItemMall","[KMTGuard].[KMT].[Mall_Items]"
"dbo","_RefNewItemMallCategories","[KMTGuard].[KMT].[Mall_Categories]"
"dbo","_RefRankCategories","[KMTGuard].[KMT].[Rank_Categories]"
"dbo","_RefTitleNameNew","[KMTGuard].[KMT].[Style_Titles]"
"dbo","_RegionAttackRule","[KMTGuard].[KMT].[Security_RegionAttackRules]"
"dbo","_Scheduler","[KMTGuard].[KMT].[System_Schedule]"
"dbo","_SecureQuickLoginLogs","[KMTGuard].[KMT].[QuickLogin_Log]"
"dbo","_SecureQuickLoginServerSecret","[KMTGuard].[KMT].[QuickLogin_ServerSecret]"
"dbo","_SecureQuickLoginTokens","[KMTGuard].[KMT].[QuickLogin_Tokens]"
"dbo","_ServerAutoCapebyRegionID","[KMTGuard].[KMT].[Style_AutoCapeRegions]"
"dbo","_SilkRank","[KMTGuard].[KMT].[Rank_Silk]"
"dbo","_SpecialOfferLog","[KMTGuard].[KMT].[Offer_PurchaseLog]"
"dbo","_SpecialOffers","[KMTGuard].[KMT].[Offer_List]"
"dbo","_StallCreateLog","[KMTGuard].[KMT].[Stall_CreateLog]"
"dbo","_TeleportFreezeCommand","[KMTGuard].[KMT].[Teleport_FreezeQueue]"
"dbo","_TimedDevillPlus","[KMTGuard].[KMT].[Item_TimedDevilPlus]"
"dbo","_TimedItemPlus","[KMTGuard].[KMT].[Item_TimedPlus]"
"dbo","_UniqueBuildMap","[KMTGuard].[KMT].[Unique_BuildMap]"
"dbo","_WebViewerButtons","[KMTGuard].[KMT].[Web_Buttons]"
"dbo","AdminAuditLog","[KMTGuard].[KMT].[Admin_AuditLog]"
"dbo","BlockedWords","[KMTGuard].[KMT].[Security_BlockedWords]"
"dbo","CharKillLog","[KMTGuard].[KMT].[Log_PlayerKills]"
"dbo","ChatLog","[KMTGuard].[KMT].[Log_Chat]"
"dbo","EventSchedule","[KMTGuard].[KMT].[Event_Schedule]"
"dbo","OfflineStalls","[KMTGuard].[KMT].[Stall_Offline]"
"dbo","region_control","[KMTGuard].[KMT].[Security_RegionChat]"
"dbo","RegionBlockSkill","[KMTGuard].[KMT].[Security_RegionBlockedSkills]"
"dbo","SilkStallTransactions","[KMTGuard].[KMT].[Stall_SilkTransactions]"
"dbo","SkillControl","[KMTGuard].[KMT].[Security_SkillRules]"
"dbo","teleport_control","[KMTGuard].[KMT].[Teleport_RulesLegacy]"
"dbo","TeleportControlRules","[KMTGuard].[KMT].[Teleport_TimeRules]"
