"TableName","Rows"
"Achievement_Conditions","9"
"Achievement_List","9"
"Achievement_PlayerConditions","346"
"Achievement_Players","338"
"Admin_AuditLog","50"
"Attendance_Players","27"
"Attendance_RewardLog","68"
"Attendance_Rewards","0"
"Auth_GMIPs","0"
"Auth_HWIDBypassIPs","0"
"Auth_HWIDs","1227"
"Auth_SecondaryPasswords","8"
"AutoEvent_CommandQueue","3"
"AutoEvent_Rewards","7"
"AutoEvent_RoundContent","19"
"AutoEvent_Rounds","4"
"AutoEvent_Runs","2"
"AutoEvent_Settings","7"
"AutoEvent_WinnerLog","1"
"Clientless_Accounts","300"
"Command_FilterQueue","28333"
"Command_GameServerQueue","0"
"Command_PlannedQueue","28"
"Event_CurrentTeams","0"
"Event_RegisterSettings","7"
"Event_Schedule","0"
"Event_ScheduleSettings","1"
"Event_ScheduleVersion","1"
"Event_ShadowDungeon","2"
"Fellow_PetObjectIDs","1680"
"Fellow_Settings","4"
"Fellow_Skills","2"
"Item_Chest","71"
"Item_Locked","1"
"Item_TimedDevilPlus","0"
"Item_TimedPlus","0"
"KillerAnimation_Active","2"
"KillerAnimation_List","6"
"KillerAnimation_Owned","9"
"KillerAnimation_PurchaseLog","9"
"Log_Chat","39"
"Log_MobKillSettings","1"
"Log_PlayerKills","15"
"LuckySpin_Log","45"
"LuckySpin_Rewards","16"
"Macro_AutoPotion","12"
"Macro_Settings","10"
"Mall_Avatars","366"
"Mall_Categories","0"
"Mall_Items","163"
"Map_Settings","1"
"NPC_GameServerIDs","359"
"NPC_MobAffinity","2"
"Offer_List","2"
"Offer_PurchaseLog","22"
"Party_MatchingLog","61"
"Party_Members","0"
"Player_Settings","6"
"PVP_Arenas","1"
"PVP_KillLog","8"
"PVP_Matches","14"
"PVP_Settings","1"
"QuickLogin_Log","289"
"QuickLogin_ServerSecret","1"
"QuickLogin_Tokens","12"
"Rank_Categories","9"
"Rank_Data01","39"
"Rank_Data02","4"
"Rank_Data03","4"
"Rank_Data04","4"
"Rank_Data05","37"
"Rank_Data06","36"
"Rank_Data07","36"
"Rank_Data08","36"
"Rank_Data09","38"
"Rank_Silk","2"
"Security_AttackRules","27"
"Security_Blacklist","0"
"Security_BlockedSkills","2"
"Security_BlockedWords","0"
"Security_HiddenSkillEffects","82"
"Security_HideNameRegions","1"
"Security_RegionAttackRules","0"
"Security_RegionBlockedSkills","1"
"Security_RegionChat","0"
"Security_RegionFeatures","1"
"Security_SkillRules","1"
"Security_Whitelist","226"
"Stall_CreateLog","96"
"Stall_Offline","11"
"Stall_SilkTransactions","9"
"Style_ActiveLeftIcons","7"
"Style_ActiveNameColors","1"
"Style_ActiveRightIcons","3"
"Style_ActiveTitleColors","3"
"Style_ActiveTitles","5"
"Style_AutoCapeRegions","0"
"Style_GlobalColors","4"
"Style_IconFiles","43"
"Style_PlayerIcons","4"
"Style_PlayerTitleColors","16"
"Style_PlayerTitles","22"
"Style_Titles","9"
"System_GameServerSettings","51"
"System_Notices","45"
"System_ProxyServices","3"
"System_Schedule","0"
"System_Settings","113"
"System_SettingsBackup","206"
"System_ShardSettings","9"
"Teleport_FreezeQueue","0"
"Teleport_RulesLegacy","0"
"Teleport_SavedLocations","2"
"Teleport_TimeRules","3"
"Unique_BuildMap","1"
"Web_Buttons","2"
