OldSchema,OldName,NewSchema,NewName
dbo,___CustomGlowSwitcher,appearance,SwitchCustomGlow
dbo,___CustomModelSwitcher,appearance,SwitchCustomModel
dbo,___HandleNPCList,npc,SynchronizeList
dbo,__ChangeGrantName,commands,ChangeGrantName
dbo,__GetUp,commands,GetUp
dbo,__GetUpAtPos,commands,GetUpAtPosition
dbo,__KillNPC,npc,Kill
dbo,__KillNPCbyWorldId,npc,KillByWorldId
dbo,__LiveConsumeAndMutateItem,live,ConsumeAndMutateItem
dbo,__LiveConsumeItem,live,ConsumeItem
dbo,__LiveGold,live,AdjustGold
dbo,__LiveMutateItem,live,MutateItem
dbo,__LiveSilk,live,AdjustSilk
dbo,__RemoveLiveBuffbySkillID,live,RemoveBuffBySkillId
dbo,__SendLiveBuffbyCodeName,live,ApplyBuffByCodeName
dbo,__SendLiveBuffLimitless,live,ApplyBuffWithoutLimit
dbo,__SendLiveCape,live,ApplyCape
dbo,__SpawnMonsterAtNearbyCharacter,npc,SpawnMonsterNearCharacter
dbo,__SpawnMonsterAtPosition,npc,SpawnMonsterAtPosition
dbo,__SpawnNPC,npc,Spawn
dbo,__TeleportIfInSafeZoneAndNoJob,teleport,IfSafeZoneAndNoJob
dbo,__TeleportToPosition,teleport,ToPosition
dbo,__TeleportToPositionWithFreeze,teleport,ToPositionWithFreeze
dbo,__TeleportToTownAllbyWorldID,teleport,AllToTownByWorldId
dbo,__TeleportToTownbyCharID,teleport,ToTownByCharacterId
dbo,_Achievement_AddNewChar,achievements,AddCharacter
dbo,_AddColorToTitleManagerColor,appearance,AddTitleColor
dbo,_AddIconToIconManager,appearance,AddIcon
dbo,_AddItemToChest,inventory,AddItemToChest
dbo,_AddItemToChest2,inventory,AddItemToChestLegacy
dbo,_AddTitleToTitleManager,appearance,AddTitle
dbo,_AttendanceEvent,events,ProcessAttendance
dbo,_AuthCharLogin,auth,AuthenticateCharacter
dbo,_AutoEventEnqueueReload,events,EnqueueReload
dbo,_AutoEventEnqueueStart,events,EnqueueStart
dbo,_AutoEventEnqueueStop,events,EnqueueStop
dbo,_Filter_GetDropLogs,logs,GetDropLogsPaged
dbo,_Filter_GetMonsterPossibleDrops,logs,GetMonsterPossibleDrops
dbo,_FilterStartup,core,Startup
dbo,_GetDropLogs,logs,GetRareDropLogs
dbo,_GetFellowPetID64,player,GetFellowPetId64
dbo,_GetItemInfo,inventory,GetItemInfo
dbo,_HandleCharSettings,ui,SaveCharacterSettings
dbo,_HandleFellowData,player,UpdateFellowData
dbo,_HandleHwidList,auth,UpdateHwidList
dbo,_HandleIcons,appearance,SelectIcon
dbo,_HandleMobKilled,events,HandleMobKilled
dbo,_HandleNewTitles,appearance,SelectTitle
dbo,_HandleSavedLocation,player,SaveLocation
dbo,_HandleTitleColors,appearance,SelectTitleColor
dbo,_HandleUniqueAchievements,achievements,HandleUniqueKill
dbo,_HandleUniqueAchievements_ByRef,achievements,HandleUniqueKillByRefId
dbo,_IncreaseJobKillCounterbyWorldID,events,IncreaseJobKillCounterByWorldId
dbo,_IncreaseKillCounterbyWorldID,events,IncreaseKillCounterByWorldId
dbo,_IncreaseTeamKillCounterbyWorldID,events,IncreaseTeamKillCounterByWorldId
dbo,_LiveSkillManagementbyWorldID,live,SetSkillStateByWorldId
dbo,_LiveTeleportManagementbyWorldID,live,SetTeleportStateByGateId
dbo,_LotteryGold_Register_KMTGuard,events,RegisterGoldLottery
dbo,_MakeNewJobKillCounterbyWorldID,events,CreateJobKillCounterByWorldId
dbo,_MakeNewKillCounterbyWorldID,events,CreateKillCounterByWorldId
dbo,_MakeNewTeamKillCounterbyWorldID,events,CreateTeamKillCounterByWorldId
dbo,_MakeNewTimerbyRegionID,events,CreateTimerByRegionId
dbo,_MakeNewTimerbyWorldID,events,CreateTimerByWorldId
dbo,_OnAlchemySuccess_EDIT,hooks,OnAlchemySucceeded
dbo,_OnAutoEquipClick_EDIT,hooks,OnAutoEquipRequested
dbo,_OnCharacterGetUp_EDIT,hooks,OnCharacterGetUp
dbo,_OnCharKillLog_EDIT,hooks,OnCharacterKilled
dbo,_OnEventCancel_EDIT,hooks,OnEventCancelled
