CurrentSchema,CurrentName,NewSchema,NewName
achievements,AddCharacter,dbo,Achievement_AddPlayer
achievements,HandleUniqueKill,dbo,Achievement_UniqueKill
achievements,HandleUniqueKillByRefId,dbo,Achievement_UniqueKillByID
achievements,UpdateProgress,dbo,Achievement_Update
appearance,AddIcon,dbo,Style_AddIcon
appearance,AddTitle,dbo,Style_AddTitle
appearance,AddTitleColor,dbo,Style_AddTitleColor
appearance,RemoveLeftIcon,dbo,Style_RemoveLeftIcon
appearance,RemoveNameColor,dbo,Style_RemoveNameColor
appearance,RemoveRightIcon,dbo,Style_RemoveRightIcon
appearance,RemoveTitle,dbo,Style_RemoveTitle
appearance,RemoveTitleColor,dbo,Style_RemoveTitleColor
appearance,SelectIcon,dbo,Style_ChooseIcon
appearance,SelectTitle,dbo,Style_ChooseTitle
appearance,SelectTitleColor,dbo,Style_ChooseTitleColor
appearance,SwitchCustomGlow,dbo,Style_ChangeGlow
appearance,SwitchCustomModel,dbo,Style_ChangeModel
appearance,UpdateLeftIcon,dbo,Style_UpdateLeftIcon
appearance,UpdateNameColor,dbo,Style_UpdateNameColor
appearance,UpdateRightIcon,dbo,Style_UpdateRightIcon
appearance,UpdateTitle,dbo,Style_UpdateTitle
appearance,UpdateTitleColor,dbo,Style_UpdateTitleColor
auth,AuthenticateCharacter,dbo,Auth_Login
auth,UpdateHwidList,dbo,Auth_UpdateHWID
commands,BroadcastNotice,dbo,Command_NoticeAll
commands,ChangeGrantName,dbo,Command_ChangeName
commands,DisconnectAll,dbo,Command_DisconnectAll
commands,DisconnectByCharacterId,dbo,Command_DisconnectByID
commands,DisconnectByCharacterName,dbo,Command_DisconnectByName
commands,GetUp,dbo,Command_GetUp
commands,GetUpAtPosition,dbo,Command_GetUpAtPosition
commands,SendMapPingByCharacterId,dbo,Command_MapPingByID
commands,SendNoticeByCharacterId,dbo,Command_NoticeByID
commands,SendNoticeByCharacterName,dbo,Command_NoticeByName
core,Startup,dbo,System_Start
events,CreateJobKillCounterByWorldId,dbo,Event_AddJobKillCounter
events,CreateKillCounterByWorldId,dbo,Event_AddKillCounter
events,CreateTeamKillCounterByWorldId,dbo,Event_AddTeamKillCounter
events,CreateTimerByRegionId,dbo,Event_AddRegionTimer
events,CreateTimerByWorldId,dbo,Event_AddWorldTimer
events,EnqueueReload,dbo,Event_Reload
events,EnqueueStart,dbo,Event_Start
events,EnqueueStop,dbo,Event_Stop
events,HandleMobKilled,dbo,Event_MobKilled
events,IncreaseJobKillCounterByWorldId,dbo,Event_AddJobKill
events,IncreaseKillCounterByWorldId,dbo,Event_AddKill
events,IncreaseTeamKillCounterByWorldId,dbo,Event_AddTeamKill
events,ProcessAttendance,dbo,Event_Attendance
events,RegisterGoldLottery,dbo,Event_RegisterGoldLottery
hooks,OnAlchemySucceeded,dbo,Hook_AlchemySuccess
hooks,OnAutoEquipRequested,dbo,Hook_AutoEquip
hooks,OnCharacterGetUp,dbo,Hook_CharacterGetUp
hooks,OnCharacterKilled,dbo,Hook_CharacterKill
hooks,OnEventCancelled,dbo,Hook_EventCancel
hooks,OnEventRegistered,dbo,Hook_EventRegister
hooks,OnGameServerStarted,dbo,Hook_GameServerStart
hooks,OnItemMallPurchased,dbo,Hook_ItemMallBuy
hooks,OnNpcItemPurchased,dbo,Hook_NPCBuy
hooks,OnPartyJoined,dbo,Hook_PartyJoin
hooks,OnPartyMatchingCreated,dbo,Hook_PartyMatchCreate
hooks,OnSelectableScrollUsed,dbo,Hook_SelectScroll
hooks,OnStallCreated,dbo,Hook_StallCreate
hooks,OnTeleportControl,dbo,Hook_Teleport
hooks,OnUniqueEntered,dbo,Hook_UniqueSpawn
hooks,OnUniqueKilled,dbo,Hook_UniqueKill
inventory,AddItemToChest,dbo,Item_AddChest
inventory,AddItemToChestLegacy,dbo,Item_AddChestOld
inventory,GetItemInfo,dbo,Item_GetInfo
live,AdjustGold,dbo,Live_Gold
live,AdjustSilk,dbo,Live_Silk
live,ApplyBuffByCodeName,dbo,Live_AddBuff
live,ApplyBuffWithoutLimit,dbo,Live_AddBuffNoLimit
live,ApplyCape,dbo,Live_Cape
live,ConsumeAndMutateItem,dbo,Live_UseAndChangeItem
live,ConsumeItem,dbo,Live_UseItem
live,MutateItem,dbo,Live_ChangeItem
live,RemoveBuffBySkillId,dbo,Live_RemoveBuff
live,SetSkillStateByWorldId,dbo,Live_Skill
live,SetTeleportStateByGateId,dbo,Live_Teleport
logs,GetDropLogsPaged,dbo,Log_Drops
logs,GetMonsterPossibleDrops,dbo,Log_MonsterDrops
logs,GetRareDropLogs,dbo,Log_RareDrops
logs,ProcessCharacterLog,dbo,Log_Character
npc,Kill,dbo,NPC_Kill
npc,KillByWorldId,dbo,NPC_KillByWorld
npc,Spawn,dbo,NPC_Spawn
npc,SpawnMonsterAtPosition,dbo,NPC_SpawnAtPosition
npc,SpawnMonsterNearCharacter,dbo,NPC_SpawnNearPlayer
npc,SynchronizeList,dbo,NPC_Sync
player,GetFellowPetId64,dbo,Player_GetFellowPet
player,SaveLocation,dbo,Player_SaveLocation
player,UpdateClientConfig,dbo,Player_SaveConfig
player,UpdateFellowData,dbo,Player_SaveFellow
teleport,AllToTownByWorldId,dbo,Teleport_AllToTown
teleport,IfSafeZoneAndNoJob,dbo,Teleport_SafeZone
teleport,SelfTeleport,dbo,Teleport_Self
teleport,ToPosition,dbo,Teleport_Position
teleport,ToPositionWithFreeze,dbo,Teleport_PositionFreeze
teleport,ToTownByCharacterId,dbo,Teleport_PlayerToTown
trade,BumpRollingMember,dbo,Trade_RollingNext
trade,CompleteGoodsPurchase,dbo,Trade_BuyDone
trade,CompleteGoodsSale,dbo,Trade_SellDone
trade,GiveBonus,dbo,Trade_GiveBonus
trade,GrantRollingBonus,dbo,Trade_RollingBonus
trade,ValidateGoodsPurchase,dbo,Trade_CheckBuy
trade,ValidateGoodsSale,dbo,Trade_CheckSell
ui,SaveAutoPotionMacro,dbo,UI_SavePotion
ui,SaveCharacterSettings,dbo,UI_SavePlayer
ui,UpdateMacroSettings,dbo,UI_SaveMacro
