OldSchema,OldName,NewSchema,NewName
dbo,_____ShadowDungeon,dbo,Event_ShadowDungeon
dbo,___SR_GSNpcUniqueIdList,dbo,NPC_GameServerIDs
dbo,___SR_GSSettings,dbo,System_GameServerSettings
dbo,___SR_ShardSettings,dbo,System_ShardSettings
dbo,__AttackRestrictions,dbo,Security_AttackRules
dbo,__Blacklist,dbo,Security_Blacklist
dbo,__Notices,dbo,System_Notices
dbo,__ProxyServices,dbo,System_ProxyServices
dbo,__Settings,dbo,System_Settings
dbo,__Settings_Backup,dbo,System_SettingsBackup
dbo,__Whitelist,dbo,Security_Whitelist
dbo,_AccountSecondaryPassword,dbo,Auth_SecondaryPasswords
dbo,_Achievement,dbo,Achievement_Players
dbo,_AchievementCondition,dbo,Achievement_PlayerConditions
dbo,_ActiveIconsLeftSide,dbo,Style_ActiveLeftIcons
dbo,_ActiveIconsRightSide,dbo,Style_ActiveRightIcons
dbo,_ActiveNameColors,dbo,Style_ActiveNameColors
dbo,_ActiveTitleColors,dbo,Style_ActiveTitleColors
dbo,_ActiveTitleNameNew,dbo,Style_ActiveTitles
dbo,_AsyncFilterCommands,dbo,Command_FilterQueue
dbo,_AsyncFilterCommandsPlanned,dbo,Command_PlannedQueue
dbo,_AsyncGameServerCommands,dbo,Command_GameServerQueue
dbo,_Attendance,dbo,Attendance_Players
dbo,_AttendanceRewardLog,dbo,Attendance_RewardLog
dbo,_AutoEventCommandQueue,dbo,AutoEvent_CommandQueue
dbo,_AutoEventConfig,dbo,AutoEvent_Settings
dbo,_AutoEventReward,dbo,AutoEvent_Rewards
dbo,_AutoEventRound,dbo,AutoEvent_Rounds
dbo,_AutoEventRoundContent,dbo,AutoEvent_RoundContent
dbo,_AutoEventRun,dbo,AutoEvent_Runs
dbo,_AutoEventWinnerLog,dbo,AutoEvent_WinnerLog
dbo,_blocked_skill,dbo,Security_BlockedSkills
dbo,_bypassHwidbyIP,dbo,Auth_HWIDBypassIPs
dbo,_CharacterIconManager,dbo,Style_PlayerIcons
dbo,_CharacterSettings,dbo,Player_Settings
dbo,_CharacterTitleManager,dbo,Style_PlayerTitles
dbo,_CharacterTitleManagerColor,dbo,Style_PlayerTitleColors
dbo,_ClientlessAccounts,dbo,Clientless_Accounts
dbo,_CurrentEventTeamList,dbo,Event_CurrentTeams
dbo,_EventScheduleMeta,dbo,Event_ScheduleVersion
dbo,_FellowSkillData,dbo,Fellow_Skills
dbo,_FilterRegionControl,dbo,Security_RegionFeatures
dbo,_GMIPList,dbo,Auth_GMIPs
dbo,_HwidList,dbo,Auth_HWIDs
dbo,_ItemChest,dbo,Item_Chest
dbo,_KillerAnimationActive,dbo,KillerAnimation_Active
dbo,_KillerAnimationOwned,dbo,KillerAnimation_Owned
dbo,_KillerAnimationPurchaseLog,dbo,KillerAnimation_PurchaseLog
dbo,_KillerAnimations,dbo,KillerAnimation_List
dbo,_LockedItemList,dbo,Item_Locked
dbo,_LuckySpinLog,dbo,LuckySpin_Log
dbo,_LuckySpinRewards,dbo,LuckySpin_Rewards
dbo,_MacroAutoPotion,dbo,Macro_AutoPotion
dbo,_MacroSetting,dbo,Macro_Settings
dbo,_MobAffinityGS,dbo,NPC_MobAffinity
dbo,_NewReverseSavedLocations,dbo,Teleport_SavedLocations
dbo,_PartyData,dbo,Party_Members
